Site_ID,Planned_Kiosk_Type,Installation_Status,PPT_ID,Legacy_ID,Borough,Council_District,Community_Board,Street_Address,Cross_Street_1,Cross_Street_2,IxN_Corner,Postcode,Zoning,Latitude,Longitude,Installation_Complete,Activation_Complete,Neighborhood_Tabulation_Area_(NTA),Building_Identification_Number_(BIN),Borough-Block-Lot_(BBL),Census_Tract_(CT),Location
bx-02-157103,Link1.0,Live,157103,,Bronx,17,202,995 WESTCHESTER AVENUE,E 165TH STREET,WESTCHESTER AVENUE,SW,10459,C1-4,40.823858,-73.89396,7/1/22,9/19/22,Longwood,,2027150049,,"(40.823858, -73.89396)"
mn-05-122269,Link1.0,Live,122269,mn-05-122269,Manhattan,3,105,712 6 AVENUE,WEST 23 STREET,WEST 22 STREET,SE,10010,C6-3A,40.742723,-73.9928,3/18/18,7/9/18,Hudson Yards-Chelsea-Flatiron-Union Square,1086050,1008240011,1005800,"(40.742723, -73.9928)"
mn-08-120988,Link1.0,Live,120988,mn-08-120988,Manhattan,4,108,1175 3 AVENUE,EAST 68 STREET,EAST 69 STREET,NE,10065,C1-9,40.767234,-73.96229,2/27/16,3/30/16,Lenox Hill-Roosevelt Island,1043902,1014237501,1011800,"(40.767234, -73.96229)"
mn-12-111556,Link1.0,Live,111556,mn-12-111556,Manhattan,7,112,3816 BROADWAY,WEST 158 STREET,WEST 159 STREET,SE,10032,C4-4,40.835135,-73.943873,6/10/17,7/20/17,Washington Heights South,1062747,1021170007,1024500,"(40.835135, -73.943873)"
bk-03-145808,Link1.0,Live,145808,LINK-002337,Brooklyn,36,303,1422 FULTON STREET,BROOKLYN AVENUE,TOMPKINS AVENUE,SE,11216,C2-4,40.680015,-73.943843,3/31/17,6/12/17,Crown Heights North,3251519,3018630007,3027100,"(40.680015, -73.943843)"
qu-12-124602,Link1.0,Live,124602,LINK-011681,Queens,27,412,89-11 MERRICK BOULEVARD,164 ST,165 ST,SE,11432,C4-5X,40.707945,-73.795266,3/29/23,7/13/23,Jamaica,4209635,4097940048,4046000,"(40.707945, -73.795266)"
bk-03-126646,Link1.0,Live,126646,bk-03-126646,Brooklyn,41,303,1874 FULTON STREET,BUFFALO AVENUE,HERKIMER STREET,SE,11233,C2-4,40.67896,-73.924424,10/27/16,11/8/16,Crown Heights North,3048037,3017040004,3029900,"(40.67896, -73.924424)"
bx-01-145841,Link1.0,Live,145841,LINK-018222,Bronx,8,201,301 WALTON AVENUE,EAST 138 STREET,EAST 140 STREET,MIDBLOCK,10451,M1-4/R6A,40.815039,-73.929885,4/22/17,6/28/17,West Concourse,2001025,2023440075,2006300,"(40.815039, -73.929885)"
qu-06-107629,Link5G_Ad,Live,107629,25040,Queens,29,406,94-03 63 DRIVE,Booth St,Saunders Street,NW,11374,C4-2,40.728832,-73.863243,1/26/23,5/19/23,Rego Park,4072104,4030810130,,"(40.728832, -73.863243)"
bx-01-146063,Link1.0,Live,146063,LINK-020572,Bronx,17,201,776 MELROSE AVENUE,EAST 158 STREET,EAST 157 STREET,SE,10451,C1-4,40.822112,-73.914849,2/25/18,4/25/18,Melrose South-Mott Haven North,2114613,2023790007,2006900,"(40.822112, -73.914849)"
