Site ID,Planned Kiosk Type,Installation Status,Street Address,Location,Borough,Installation Complete
qu-13-160011,Link5G_NonAd,Live,241-01 135 AVENUE,"(40.6717, -73.73323)",Queens,02/23/2024
mn-03-158821,Link5G_Ad,Live,36 RIVINGTON STREET,"(40.72111, -73.991366)",Manhattan,10/18/2022
mn-12-134409,Link1.0,Live,4791 BROADWAY,"(40.866152, -73.925806)",Manhattan,02/10/2022
mn-03-122031,Link1.0,Live,440 EAST 14 STREET,"(40.730496, -73.980768)",Manhattan,04/02/2017
mn-04-123494,Link1.0,Live,200 WEST 23 STREET,"(40.744114, -73.995892)",Manhattan,10/07/2017
si-01-152115,Link1.0,Live,814 RICHMOND TERRACE,"(40.644698, -74.099459)",Staten Island,11/01/2022
mn-08-121756,Link1.0,Live,1175 2 AVENUE,"(40.762417, -73.963159)",Manhattan,01/27/2018
mn-11-120199,Link1.0,Live,2240 2 AVENUE,"(40.79636, -73.938107)",Manhattan,12/18/2016
qu-03-136656,Link1.0,Live,93-19 ROOSEVELT AVENUE,"(40.748869, -73.872933)",Queens,08/05/2017
mn-07-133415,Link1.0,Live,2298 BROADWAY,"(40.786223, -73.977993)",Manhattan,04/06/2016
mn-08-121010,Link1.0,Live,1450 3 AVENUE,"(40.776366, -73.955931)",Manhattan,02/15/2016
mn-04-135620,Link1.0,Live,127 8 AVENUE,"(40.741373, -74.001501)",Manhattan,08/05/2017
mn-10-134578,Link1.0,Live,2380 ADAM CLAYTON POWELL JR. BOULEVARD,"(40.818029, -73.941924)",Manhattan,08/13/2017
mn-05-122657,Link1.0,Live,821 7 AVENUE,"(40.763036, -73.981711)",Manhattan,04/01/2017
mn-11-120070,Link1.0,Live,1421 5 AVENUE,"(40.800781, -73.946241)",Manhattan,10/15/2016
bx-05-159985,Link5G_Ad,Live,132 FEATHERBED LANE,"(40.85207, -73.8984)",Bronx,12/14/2023
qu-01-125132,Link1.0,Live,32-04 30 AVENUE,"(40.766386, -73.920459)",Queens,05/06/2017
mn-03-108511,Link1.0,Live,35 ST. MARKS PLACE,"(40.728756, -73.987914)",Manhattan,09/16/2017
qu-03-136305,Link1.0,Live,90-13 ROOSEVELT AVENUE,"(40.748551, -73.875775)",Queens,08/05/2017
mn-08-121031,Link1.0,Live,34 EAST 73 STREET,"(40.772373, -73.964839)",Manhattan,02/17/2018
qu-12-123982,Link5G_Ad,Live,204-03 LINDEN BOULEVARD,"(40.695545, -73.748533)",Queens,09/08/2022
mn-04-139998,Link1.0,Live,728 10 AVENUE,"(40.764456, -73.99182)",Manhattan,10/07/2017
bk-06-145902,Link1.0,Live,258 14 STREET,"(40.66623, -73.989057)",Brooklyn,07/31/2017
bx-02-157804,Link5G_Ad,Live,1390 RANDALL AVENUE,"(40.812779, -73.881469)",Bronx,06/30/2022
qu-03-159984,Link1.0,Live,91-01 NORTHERN BOULEVARD,"(40.7565604, -73.8768487)",Queens,11/06/2023
mn-06-121824,Link1.0,Live,797 3 AVENUE,"(40.755233, -73.971032)",Manhattan,02/08/2016
qu-04-145898,Link1.0,Live,84-43 CORONA AVENUE,"(40.739332, -73.87813)",Queens,08/05/2017
bk-09-126563,Link5G_Ad,Live,660 FLATBUSH AVENUE,"(40.657164, -73.960338)",Brooklyn,10/29/2022
bx-05-119644,Link1.0,Live,333 EAST 181 STREET,"(40.85397, -73.898365)",Bronx,07/28/2022
bx-05-119606,Link1.0,Live,2374 JEROME AVENUE,"(40.86063, -73.902369)",Bronx,06/09/2016
mn-07-133518,Link1.0,Live,10 WEST 61 STREET,"(40.769839, -73.982502)",Manhattan,04/30/2016
bx-04-119141,Link1.0,Live,1391 JEROME AVENUE,"(40.840248, -73.918194)",Bronx,06/10/2017
mn-11-143074,Link1.0,Live,1950 3 AVENUE,"(40.792394, -73.94423)",Manhattan,03/05/2016
bx-06-119388,Link1.0,Live,1948 WEBSTER AVENUE,"(40.849093, -73.900031)",Bronx,05/10/2017
bx-01-146054,Link1.0,Live,601 EAST 138 STREET,"(40.806385, -73.916245)",Bronx,02/12/2018
mn-09-131062,Link1.0,Live,1881 AMSTERDAM AVENUE,"(40.830336, -73.943756)",Manhattan,07/19/2016
bk-01-145997,Link1.0,Live,500 GRAND STREET,"(40.71087, -73.951311)",Brooklyn,11/17/2017
mn-07-121232,Link1.0,Live,2202 BROADWAY,"(40.783191, -73.980253)",Manhattan,04/19/2016
mn-06-121540,Link1.0,Live,866 2 AVENUE,"(40.752476, -73.970116)",Manhattan,05/19/2018
bk-02-127466,Link5G_Ad,Live,143 WAVERLY AVENUE,"(40.693311, -73.967671)",Brooklyn,09/12/2022
mn-07-120402,Link1.0,Live,249 WEST 107 STREET,"(40.802126, -73.967493)",Manhattan,05/20/2016
mn-06-121772,Link1.0,Live,300 EAST 57 STREET,"(40.759149, -73.965162)",Manhattan,02/24/2018
mn-04-115165,Link1.0,Live,183 7 AVENUE,"(40.742674, -73.996549)",Manhattan,03/18/2018
qu-02-154903,Link1.0,Live,49-01 43 AVENUE,"(40.744716, -73.915472)",Queens,09/21/2022
qu-09-145885,Link1.0,Live,76-23 JAMAICA AVENUE,"(40.691734, -73.865015)",Queens,07/15/2017
mn-03-123792,Link1.0,Live,162 1 AVENUE,"(40.728622, -73.984419)",Manhattan,07/29/2017
mn-04-123504,Link1.0,Live,568 WEST 23 STREET,"(40.748758, -74.006904)",Manhattan,12/19/2022
bk-03-145759,Link1.0,Live,1546 FULTON STREET,"(40.679752, -73.939101)",Brooklyn,03/02/2017
mn-09-120561,Link1.0,Live,502 WEST 136 STREET,"(40.8196, -73.951942)",Manhattan,07/10/2016
qu-02-143797,Link1.0,Live,45-01 35 STREET,"(40.744151, -73.929829)",Queens,11/05/2016
mn-09-145978,Link1.0,Live,1381 AMSTERDAM AVENUE,"(40.814539, -73.95528)",Manhattan,10/28/2017
mn-04-122595,Link1.0,Live,825 8 AVENUE,"(40.762246, -73.986293)",Manhattan,03/06/2016
mn-03-123346,Link5G_Ad,Live,400 GRAND STREET,"(40.716166, -73.986634)",Manhattan,08/06/2022
bx-01-123210,Link1.0,Live,660 WESTCHESTER AVENUE,"(40.815998, -73.908242)",Bronx,05/17/2018
mn-05-135179,Link1.0,Live,450 7 AVENUE,"(40.751224, -73.990592)",Manhattan,05/12/2018
qu-04-111010,Link1.0,Live,72-30 ROOSEVELT AVENUE,"(40.746672, -73.892532)",Queens,07/08/2017
mn-09-134795,Link1.0,Live,3599 BROADWAY,"(40.82832, -73.949299)",Manhattan,10/20/2017
qu-12-114989,Link1.0,Live,173-20 JAMAICA AVENUE,"(40.707831, -73.785914)",Queens,04/12/2023
bk-03-126646,Link1.0,Live,1874 FULTON STREET,"(40.67896, -73.924424)",Brooklyn,10/27/2016
mn-05-121632,Link1.0,Live,21 EAST 31 STREET,"(40.745986, -73.984492)",Manhattan,11/19/2016
si-01-125537,Link1.0,Live,600 FOREST AVENUE,"(40.6299, -74.10914)",Staten Island,05/13/2024
mn-06-121820,Link1.0,Live,160 EAST 50 STREET,"(40.755877, -73.97103)",Manhattan,05/14/2016
qu-02-145849,Link1.0,Live,69-02 QUEENS BOULEVARD,"(40.739922, -73.895296)",Queens,06/03/2017
bk-01-145858,Link1.0,Live,434 MANHATTAN AVENUE,"(40.719511, -73.946853)",Brooklyn,06/30/2017
mn-06-123801,Link1.0,Live,325 EAST 14 STREET,"(40.73196, -73.983802)",Manhattan,10/01/2016
bx-01-145854,Link1.0,Live,217 EAST 138 STREET,"(40.812253, -73.928665)",Bronx,06/24/2017
mn-06-121746,Link1.0,Live,988 3 AVENUE,"(40.761484, -73.966779)",Manhattan,11/18/2017
mn-09-100210,Link1.0,Live,501 WEST 145 STREET,"(40.825446, -73.947868)",Manhattan,08/19/2016
mn-09-120359,Link1.0,Live,600 WEST 142 STREET,"(40.824578, -73.952134)",Manhattan,07/08/2016
bk-17-126271,Link1.0,Live,4802 CHURCH AVENUE,"(40.65159, -73.932187)",Brooklyn,11/17/2017
mn-07-133404,Link1.0,Live,2160 BROADWAY,"(40.781853, -73.980836)",Manhattan,05/25/2016
mn-07-121208,Link1.0,Live,376 AMSTERDAM AVENUE,"(40.78241, -73.979)",Manhattan,02/17/2018
mn-06-121358,Link1.0,Live,203 EAST 45 STREET,"(40.752665, -73.972843)",Manhattan,01/08/2016
mn-07-133668,Link1.0,Live,868 AMSTERDAM AVENUE,"(40.798027, -73.967603)",Manhattan,12/06/2017
mn-03-137407,Link5G_Ad,Live,5 ST. JAMES PLACE,"(40.710955, -74.000384)",Manhattan,09/01/2022
qu-09-145884,Link1.0,Live,94-20 JAMAICA AVENUE,"(40.69414, -73.850569)",Queens,07/15/2017
bx-01-118956,Link1.0,Live,2882 3 AVENUE,"(40.816679, -73.916483)",Bronx,10/22/2016
mn-06-120627,Link1.0,Live,132 EAST 51 STREET,"(40.756945, -73.971614)",Manhattan,07/18/2017
mn-12-111623,Link1.0,Live,1439 ST. NICHOLAS AVENUE,"(40.849854, -73.933473)",Manhattan,12/05/2017
mn-10-119959,Link1.0,Live,1940 ADAM CLAYTON POWELL JR. BOULEVARD,"(40.804047, -73.95214)",Manhattan,10/29/2016
qu-09-145912,Link1.0,Live,123-08 JAMAICA AVENUE,"(40.700635, -73.827097)",Queens,08/19/2017
mn-05-121651,Link1.0,Live,26 EAST 33 STREET,"(40.747144, -73.983698)",Manhattan,04/14/2018
bk-16-127124,Link1.0,Live,1861 PITKIN AVENUE,"(40.670741, -73.90406)",Brooklyn,12/08/2022
mn-06-121839,Link1.0,Live,164 EAST 53 STREET,"(40.757729, -73.969615)",Manhattan,03/19/2017
mn-03-133426,Link1.0,Live,178 CANAL STREET,"(40.716652, -73.997646)",Manhattan,09/14/2016
mn-04-136316,Link1.0,Live,575 8 AVENUE,"(40.754881, -73.991662)",Manhattan,11/18/2017
mn-02-133383,Link1.0,Live,431 CANAL STREET,"(40.723013, -74.006771)",Manhattan,08/02/2018
mn-06-135591,Link1.0,Live,441 2 AVENUE,"(40.739341, -73.979985)",Manhattan,12/07/2017
mn-09-118226,Link1.0,Live,501 WEST 140 STREET,"(40.822212, -73.950118)",Manhattan,06/11/2017
qu-04-125330,Link1.0,Live,86-10 ROOSEVELT AVENUE,"(40.747981, -73.880027)",Queens,08/19/2017
mn-12-111868,Link1.0,Live,1622 ST. NICHOLAS AVENUE,"(40.855615, -73.928997)",Manhattan,12/01/2017
mn-07-134640,Link1.0,Live,574 COLUMBUS AVENUE,"(40.787698, -73.971413)",Manhattan,02/26/2018
mn-04-122623,Link1.0,Live,947 8 AVENUE,"(40.766011, -73.983548)",Manhattan,03/10/2016
bk-09-126569,Link1.0,Live,535 FLATBUSH AVENUE,"(40.660852, -73.960581)",Brooklyn,02/17/2017
bx-05-111414,Link1.0,Live,8 WEST BURNSIDE AVENUE,"(40.853764, -73.907899)",Bronx,12/06/2016
mn-06-123261,Link1.0,Live,133 EAST 14 STREET,"(40.73347, -73.987384)",Manhattan,07/02/2016
mn-04-111683,LINK1.0,Live,531 6 AVENUE,"(40.737561, -73.996841)",Manhattan,09/24/2016
mn-06-133433,Link1.0,Live,974 3 AVENUE,"(40.761095, -73.967076)",Manhattan,08/13/2016
mn-10-137385,Link1.0,Live,2401 ADAM CLAYTON POWELL JR. BOULEVARD,"(40.818505, -73.941152)",Manhattan,07/19/2017
bk-06-145848,Link1.0,Live,162 PARK PLACE,"(40.677589, -73.973062)",Brooklyn,06/11/2017
bk-06-145875,Link1.0,Live,280 SMITH STREET,"(40.68241, -73.993467)",Brooklyn,07/20/2017
mn-04-122691,Link1.0,Live,413 8 AVENUE,"(40.750227, -73.995051)",Manhattan,03/18/2016
mn-07-133413,Link1.0,Live,2096 BROADWAY,"(40.778381, -73.981665)",Manhattan,01/27/2017
mn-12-139589,Link1.0,Live,601 WEST 178 STREET,"(40.847513, -73.935363)",Manhattan,12/06/2017
mn-08-120982,Link1.0,Live,201 EAST 70 STREET,"(40.768423, -73.961381)",Manhattan,11/04/2017
mn-10-120002,Link1.0,Live,2353 FREDERICK DOUGLASS BOULEVARD,"(40.810989, -73.950711)",Manhattan,12/22/2016
mn-07-121255,Link1.0,Live,2440 BROADWAY,"(40.790901, -73.974302)",Manhattan,05/20/2016
mn-06-138165,Link1.0,Live,164 EAST 37 STREET,"(40.747672, -73.976965)",Manhattan,05/14/2016
mn-04-134867,Link1.0,Live,769 10 AVENUE,"(40.765875, -73.991057)",Manhattan,09/23/2017
mn-08-135082,Link1.0,Live,1320 1 AVENUE,"(40.766952, -73.956465)",Manhattan,12/07/2017
bk-02-127256,Link1.0,Live,320 SCHERMERHORN STREET,"(40.68721, -73.981719)",Brooklyn,08/10/2017
mn-07-134272,Link1.0,Live,472 COLUMBUS AVENUE,"(40.784423, -73.973816)",Manhattan,02/14/2018
mn-10-133684,Link1.0,Live,2538 ADAM CLAYTON POWELL JR. BOULEVARD,"(40.823124, -73.938202)",Manhattan,08/25/2017
mn-05-137241,Link1.0,Live,245 PARK AVENUE SOUTH,"(40.738097, -73.987738)",Manhattan,03/03/2018
mn-06-138188,Link1.0,Live,801 2 AVENUE,"(40.750458, -73.971893)",Manhattan,11/11/2017
mn-07-121224,Link1.0,Live,215 WEST 75 STREET,"(40.780942, -73.980966)",Manhattan,05/02/2018
bx-04-119152,Link1.0,Live,1211 GRANDVIEW PLACE,"(40.834904, -73.918226)",Bronx,03/19/2018
bk-16-155305,Link1.0,Live,130 NEW LOTS AVENUE,"(40.65854, -73.90035)",Brooklyn,12/06/2022
mn-10-138528,Link1.0,Live,99 WEST 116 STREET,"(40.801949, -73.949259)",Manhattan,12/21/2016
mn-06-134920,Link1.0,Live,438 3 AVENUE,"(40.743494, -73.979907)",Manhattan,06/30/2017
qu-03-125402,Link1.0,Live,102-02 NORTHERN BOULEVARD,"(40.757446, -73.866434)",Queens,04/28/2018
qu-12-128738,Link5G_Ad,Live,147-14 HILLSIDE AVENUE,"(40.705819, -73.809058)",Queens,02/24/2023
bk-16-132774,Link5G_Ad,Live,702 ROCKAWAY AVENUE,"(40.66281, -73.90906)",Brooklyn,
bx-05-111577,Link1.0,Live,111 EAST BURNSIDE AVENUE,"(40.853028, -73.905076)",Bronx,04/15/2017
bk-06-159999,Link5G_NonAd,Live,119 PIONEER STREET,"(40.679747, -74.0121699)",Brooklyn,01/26/2024
mn-07-121247,Link1.0,Live,2310 BROADWAY,"(40.786896, -73.977483)",Manhattan,04/22/2016
bx-05-119566,Link1.0,Live,1999 UNIVERSITY AVENUE,"(40.854764, -73.911439)",Bronx,12/22/2016
mn-05-108433,Link1.0,Live,550 8 AVENUE,"(40.754171, -73.991871)",Manhattan,03/12/2016
qu-09-124784,Link1.0,Live,112-01 JAMAICA AVENUE,"(40.697563, -73.83628)",Queens,05/20/2017
mn-06-138438,Link1.0,Live,954 3 AVENUE,"(40.760457, -73.967538)",Manhattan,02/27/2016
mn-04-123500,Link1.0,Live,210 7 AVENUE,"(40.743564, -73.996168)",Manhattan,04/08/2017
qu-12-141541,Link1.0,Live,163-02 JAMAICA AVENUE,"(40.704609, -73.796801)",Queens,08/27/2016
mn-03-115305,Link1.0,Live,193 2 AVENUE,"(40.731157, -73.985928)",Manhattan,07/08/2016
mn-01-137399,Link1.0,Live,125 WORTH STREET,"(40.715484, -74.002667)",Manhattan,08/21/2020
mn-09-100231,Link1.0,Live,500 WEST 148 STREET,"(40.827196, -73.946441)",Manhattan,07/19/2016
mn-10-142813,Link1.0,Live,2306 FREDERICK DOUGLASS BOULEVARD,"(40.809268, -73.951708)",Manhattan,09/24/2016
mn-08-121049,Link1.0,Live,36 EAST 84 STREET,"(40.779454, -73.959681)",Manhattan,11/18/2017
qu-06-145765,Link1.0,Live,97-14 66 AVENUE,"(40.727489, -73.856071)",Queens,03/04/2017
mn-11-120250,Link1.0,Live,145 EAST 116 STREET,"(40.798646, -73.941422)",Manhattan,12/18/2016
bk-06-108348,Link1.0,Live,311 SMITH STREET,"(40.681346, -73.994047)",Brooklyn,12/08/2017
mn-02-122264,Link1.0,Live,375 6 AVENUE,"(40.732884, -74.000238)",Manhattan,03/10/2018
qu-01-125085,Link1.0,Live,31-01 BROADWAY,"(40.761897, -73.92505)",Queens,03/25/2017
bk-06-145994,Link1.0,Live,342 FLATBUSH AVENUE,"(40.676134, -73.971836)",Brooklyn,11/10/2017
mn-02-123595,Link1.0,Live,284 HUDSON STREET,"(40.725335, -74.007554)",Manhattan,11/17/2016
mn-04-122470,Link1.0,Live,829 10 AVENUE,"(40.76779, -73.989659)",Manhattan,09/23/2017
qu-03-139617,Link1.0,Live,37-65 95 STREET,"(40.74909, -73.871817)",Queens,10/19/2017
mn-06-121506,Link1.0,Live,200 EAST 30 STREET,"(40.743093, -73.979813)",Manhattan,05/21/2016
mn-04-136982,Link1.0,Live,303 WEST 39 STREET,"(40.7555, -73.991425)",Manhattan,03/19/2016
mn-08-121015,Link1.0,Live,200 EAST 80 STREET,"(40.774855, -73.956665)",Manhattan,02/15/2016
mn-07-121193,Link1.0,Live,174 AMSTERDAM AVENUE,"(40.776069, -73.983633)",Manhattan,07/13/2016
qu-13-115284,Link5G_Ad,Live,138-89 FRANCIS LEWIS BOULEVARD,"(40.6669, -73.73661)",Queens,02/09/2024
mn-11-100200,Link1.0,Live,1403 5 AVENUE,"(40.80007, -73.946762)",Manhattan,10/15/2016
mn-06-121362,Link1.0,Live,660 3 AVENUE,"(40.75096, -73.974467)",Manhattan,02/07/2016
bx-02-145582,Link1.0,Live,1360 EAST BAY AVENUE,"(40.808927, -73.882082)",Bronx,07/01/2022
mn-08-120988,Link1.0,Live,1175 3 AVENUE,"(40.767234, -73.96229)",Manhattan,02/27/2016
mn-07-107801,Link1.0,Live,243 WEST 99 STREET,"(40.796761, -73.970652)",Manhattan,07/10/2016
mn-07-133679,Link1.0,Live,638 COLUMBUS AVENUE,"(40.789622, -73.970024)",Manhattan,04/30/2018
bk-02-145810,Link1.0,Live,79 HENRY STREET,"(40.69828, -73.992555)",Brooklyn,03/24/2017
qu-12-123850,Link5G_Ad,Live,113-50 FARMERS BOULEVARD,"(40.698178, -73.762476)",Queens,09/23/2022
si-01-153319,Link1.0,Live,455 FRONT STREET,"(40.627192, -74.074112)",Staten Island,10/25/2022
mn-07-133636,Link1.0,Live,2565 BROADWAY,"(40.794896, -73.971856)",Manhattan,06/19/2017
mn-06-133473,Link1.0,Live,760 3 AVENUE,"(40.754092, -73.97218)",Manhattan,02/08/2016
mn-09-134916,Link1.0,Live,601 WEST 111 STREET,"(40.805114, -73.966788)",Manhattan,05/01/2018
qu-01-146037,Link1.0,Live,37-01 31 AVENUE,"(40.762073, -73.918518)",Queens,12/15/2017
bk-01-146000,Link1.0,Live,101 NORTH 5 STREET,"(40.717658, -73.960301)",Brooklyn,11/22/2017
mn-12-120746,Link1.0,Live,4037 BROADWAY,"(40.842337, -73.939377)",Manhattan,02/17/2022
mn-03-123367,Link1.0,Live,84 DELANCEY STREET,"(40.719215, -73.98985)",Manhattan,11/14/2016
bk-06-145874,Link1.0,Live,515 5 AVENUE,"(40.666539, -73.988378)",Brooklyn,07/20/2017
mn-11-120248,Link1.0,Live,2265 3 AVENUE,"(40.802637, -73.936468)",Manhattan,06/05/2018
mn-10-120055,Link1.0,Live,2361 ADAM CLAYTON POWELL JR. BOULEVARD,"(40.817264, -73.942056)",Manhattan,10/26/2016
bk-01-145988,Link1.0,Live,561 METROPOLITAN AVENUE,"(40.71413, -73.950283)",Brooklyn,11/04/2017
bx-07-119724,Link5G_Ad,Live,3177 WEBSTER AVENUE,"(40.87273, -73.875333)",Bronx,06/29/2022
mn-06-121676,Link1.0,Live,943 1 AVENUE,"(40.755081, -73.965434)",Manhattan,11/29/2017
bx-04-119048,Link1.0,Live,105 EAST 165 STREET,"(40.831467, -73.921747)",Bronx,05/12/2016
mn-06-121437,Link1.0,Live,490 2 AVENUE,"(40.740894, -73.978561)",Manhattan,04/23/2018
mn-06-133525,Link1.0,Live,220 3 AVENUE,"(40.736332, -73.985123)",Manhattan,04/16/2016
mn-05-133511,Link1.0,Live,208 WEST 49 STREET,"(40.760632, -73.984283)",Manhattan,04/30/2016
bx-05-119635,Link1.0,Live,300 EAST FORDHAM ROAD,"(40.861905, -73.894827)",Bronx,02/16/2022
bx-01-145819,Link1.0,Live,135 EAST 146 STREET,"(40.817512, -73.928886)",Bronx,04/15/2017
qu-12-157659,Link1.0,Live,99-20 189 STREET,"(40.708248, -73.768953)",Queens,08/04/2022
mn-06-121854,Link1.0,Live,909 3 AVENUE,"(40.75882, -73.968417)",Manhattan,02/28/2016
qu-02-145744,Link1.0,Live,58-28 QUEENS BOULEVARD,"(40.741506, -73.906524)",Queens,02/25/2017
mn-08-135119,Link1.0,Live,400 EAST 64 STREET,"(40.762583, -73.95946)",Manhattan,03/23/2018
bx-07-145690,Link1.0,Live,30 EAST KINGSBRIDGE ROAD,"(40.867038, -73.896537)",Bronx,08/27/2016
mn-06-134218,Link1.0,Live,201 EAST 57 STREET,"(40.760207, -73.967177)",Manhattan,04/23/2016
mn-06-133339,Link1.0,Live,165 3 AVENUE,"(40.734473, -73.986175)",Manhattan,01/08/2016
mn-10-120062,Link1.0,Live,201 WEST 145 STREET,"(40.821828, -73.939286)",Manhattan,07/19/2017
mn-09-145960,Link1.0,Live,1850 AMSTERDAM AVENUE,"(40.829389, -73.944704)",Manhattan,10/07/2017
mn-10-119988,Link1.0,Live,2190 FREDERICK DOUGLASS BOULEVARD,"(40.805792, -73.954263)",Manhattan,06/17/2017
qu-01-146039,Link1.0,Live,33-20 31 AVENUE,"(40.763207, -73.921267)",Queens,12/15/2017
mn-02-108535,Link1.0,Live,628 HUDSON STREET,"(40.738351, -74.005466)",Manhattan,02/04/2018
mn-04-108085,Link1.0,Live,100 WEST 26 STREET,"(40.744847, -73.991677)",Manhattan,09/30/2017
mn-07-135658,Link1.0,Live,715 AMSTERDAM AVENUE,"(40.793161, -73.970894)",Manhattan,03/15/2018
qu-02-137493,Link1.0,Live,51-05 SKILLMAN AVENUE,"(40.746058, -73.913056)",Queens,10/29/2022
mn-06-133818,Link1.0,Live,241 MADISON AVENUE,"(40.749982, -73.981236)",Manhattan,05/26/2017
mn-09-135619,Link1.0,Live,3501 BROADWAY,"(40.825319, -73.951488)",Manhattan,06/17/2017
qu-09-124798,Link1.0,Live,86-33 FOREST PARKWAY,"(40.692451, -73.860858)",Queens,06/24/2017
mn-12-120767,Link1.0,Live,1279 ST. NICHOLAS AVENUE,"(40.844689, -73.937259)",Manhattan,02/17/2018
mn-01-137165,Link1.0,Live,101 LAFAYETTE STREET,"(40.717828, -74.000962)",Manhattan,08/01/2016
mn-04-107675,Link1.0,Live,871 8 AVENUE,"(40.763803, -73.985157)",Manhattan,04/07/2018
bk-06-125910,Link1.0,Live,462 5 AVENUE,"(40.668533, -73.986956)",Brooklyn,02/23/2017
bx-05-119573,Link1.0,Live,2454 WALTON AVENUE,"(40.862313, -73.900314)",Bronx,08/27/2016
mn-08-121042,Link1.0,Live,40 EAST 80 STREET,"(40.776918, -73.96154)",Manhattan,02/03/2018
mn-06-134118,Link1.0,Live,892 3 AVENUE,"(40.758275, -73.96913)",Manhattan,02/28/2016
qu-02-125015,Link1.0,Live,46-45 VERNON BOULEVARD,"(40.745496, -73.952966)",Queens,04/28/2018
mn-08-121140,Link1.0,Live,24 EAST 70 STREET,"(40.770517, -73.966604)",Manhattan,02/03/2018
mn-02-123611,Link1.0,Live,482 HUDSON STREET,"(40.732308, -74.006415)",Manhattan,11/05/2016
mn-04-134628,Link1.0,Live,675 6 AVENUE,"(40.742126, -73.993522)",Manhattan,10/28/2017
bk-16-157776,Link1.0,Live,91 JUNIUS STREET,"(40.672128, -73.903459)",Brooklyn,12/09/2022
qu-01-145980,Link1.0,Live,39-27 31 STREET,"(40.75195, -73.93338)",Queens,10/14/2017
bk-04-157581,Link1.0,Live,797 BROADWAY,"(40.699954, -73.940268)",Brooklyn,04/21/2023
mn-06-138051,Link1.0,Live,150 EAST 51 STREET,"(40.75679, -73.971263)",Manhattan,03/19/2017
mn-11-144673,Link1.0,Live,192 EAST 125 STREET,"(40.803731, -73.936139)",Manhattan,03/19/2016
mn-04-107977,Link1.0,Live,221 8 AVENUE,"(40.74426, -73.999398)",Manhattan,03/16/2016
bk-16-157161,Link1.0,Live,354 SARATOGA AVENUE,"(40.673525, -73.916832)",Brooklyn,04/18/2022
bx-01-145842,Link1.0,Live,261 WALTON AVENUE,"(40.81431, -73.930217)",Bronx,05/10/2017
mn-05-122453,Link1.0,Live,341 7 AVENUE,"(40.747904, -73.992745)",Manhattan,10/22/2016
bx-05-159996,Link5G_Ad,Live,1985 WEBSTER AVENUE,"(40.84615, -73.9204)",Bronx,12/21/2023
mn-09-139323,Link1.0,Live,1580 AMSTERDAM AVENUE,"(40.82096, -73.950863)",Manhattan,10/26/2016
mn-05-122658,Link1.0,Live,704 7 AVENUE,"(40.759379, -73.984637)",Manhattan,11/22/2017
qu-01-145956,Link1.0,Live,48-18 NORTHERN BOULEVARD,"(40.753522, -73.914501)",Queens,09/30/2017
bx-01-146086,Link1.0,Live,216 WILLIS AVENUE,"(40.808293, -73.923332)",Bronx,05/17/2018
si-02-145829,Link1.0,Live,1570 RICHMOND ROAD,"(40.591436, -74.100862)",Staten Island,04/10/2017
mn-08-120952,Link1.0,Live,1259 1 AVENUE,"(40.765193, -73.958062)",Manhattan,04/23/2018
mn-07-138882,Link1.0,Live,221 WEST 81 STREET,"(40.785068, -73.978633)",Manhattan,12/18/2016
mn-06-134921,Link1.0,Live,341 3 AVENUE,"(40.740218, -73.981988)",Manhattan,03/18/2018
mn-08-120842,Link1.0,Live,400 EAST 73 STREET,"(40.768374, -73.955362)",Manhattan,10/16/2017
mn-05-134468,Link1.0,Live,69 5 AVENUE,"(40.736111, -73.993424)",Manhattan,07/29/2017
mn-12-120468,Link1.0,Live,450 WEST 162 STREET,"(40.835586, -73.939589)",Manhattan,11/19/2016
mn-04-134489,Link1.0,Live,699 6 AVENUE,"(40.742548, -73.993209)",Manhattan,10/07/2017
qu-12-141535,Link1.0,Live,147-05 JAMAICA AVENUE,"(40.701827, -73.807661)",Queens,08/27/2016
si-02-145737,Link1.0,Live,2361 HYLAN BOULEVARD,"(40.573466, -74.106917)",Staten Island,02/19/2017
mn-06-133555,Link1.0,Live,99 EAST 34 STREET,"(40.747055, -73.981061)",Manhattan,03/03/2018
qu-02-124955,Link1.0,Live,38-02 QUEENS BOULEVARD,"(40.743877, -73.926926)",Queens,11/19/2016
qu-03-132963,Link5G_Ad,Live,76-23 37 AVENUE,"(40.749292, -73.889197)",Queens,04/11/2023
bk-05-145942,Link1.0,Live,3368 FULTON STREET,"(40.683821, -73.87138)",Brooklyn,09/29/2017
mn-07-135057,Link1.0,Live,661 COLUMBUS AVENUE,"(40.790444, -73.969155)",Manhattan,05/01/2018
mn-12-111803,Link1.0,Live,2002 AMSTERDAM AVENUE,"(40.834245, -73.941159)",Manhattan,07/15/2016
mn-09-135705,Link1.0,Live,3421 BROADWAY,"(40.822854, -73.953291)",Manhattan,03/03/2018
mn-07-120596,Link1.0,Live,250 WEST 95 STREET,"(40.794042, -73.972567)",Manhattan,05/20/2016
mn-07-107263,Link1.0,Live,720 AMSTERDAM AVENUE,"(40.793524, -73.970887)",Manhattan,07/28/2016
mn-09-120422,Link1.0,Live,551 WEST 138 STREET,"(40.821918, -73.95331)",Manhattan,07/10/2016
mn-08-120956,Link1.0,Live,401 EAST 66 STREET,"(40.763948, -73.95853)",Manhattan,11/29/2017
mn-07-145539,Link1.0,Live,625 COLUMBUS AVENUE,"(40.789182, -73.970075)",Manhattan,02/14/2018
