Site ID,Planned Kiosk Type,Installation Status,Street Address,Location,Borough,Installation Complete
bk-07-145865,Link1.0,Live,941 4 AVENUE,"(40.654133, -74.004404)",Brooklyn,07/15/2017
mn-04-122621,Link1.0,Live,973 8 AVENUE,"(40.766963, -73.982853)",Manhattan,07/19/2016
mn-05-135659,Link1.0,Live,455 PARK AVENUE SOUTH,"(40.744984, -73.982723)",Manhattan,04/14/2018
bk-01-146092,Link1.0,Live,361 BROADWAY,"(40.707581, -73.955316)",Brooklyn,06/05/2018
mn-09-134420,Link1.0,Live,1659 AMSTERDAM AVENUE,"(40.823122, -73.949014)",Manhattan,06/17/2017
bk-08-126502,Link1.0,Live,307 FLATBUSH AVENUE,"(40.678453, -73.973253)",Brooklyn,11/03/2017
mn-04-135037,Link1.0,Live,176 8 AVENUE,"(40.742689, -74.000238)",Manhattan,04/30/2017
mn-02-100727,Link1.0,Live,178 BOWERY,"(40.720596, -73.994075)",Manhattan,07/12/2016
bk-01-145857,Link1.0,Live,256 GRAHAM AVENUE,"(40.711079, -73.943732)",Brooklyn,06/27/2017
mn-05-122768,Link1.0,Live,899 6 AVENUE,"(40.748772, -73.988673)",Manhattan,10/22/2016
bk-03-145837,Link1.0,Live,505 NOSTRAND AVENUE,"(40.679987, -73.949473)",Brooklyn,04/28/2017
mn-10-119884,Link1.0,Live,2454 FREDERICK DOUGLASS BOULEVARD,"(40.814447, -73.94792)",Manhattan,05/02/2018
mn-07-136376,Link1.0,Live,620 COLUMBUS AVENUE,"(40.789263, -73.970284)",Manhattan,02/14/2018
bk-08-145991,Link1.0,Live,658 FRANKLIN AVENUE,"(40.675745, -73.956212)",Brooklyn,11/10/2017
qu-09-108791,Link1.0,Live,102-01 JAMAICA AVENUE,"(40.695225, -73.845226)",Queens,05/20/2017
mn-05-139461,Link1.0,Live,890 8 AVENUE,"(40.764212, -73.984545)",Manhattan,04/30/2016
si-01-154577,Link5G_Ad,Live,45 HYATT STREET,"(40.641769, -74.077691)",Staten Island,04/01/2023
bx-02-145554,Link1.0,Live,931 WESTCHESTER AVENUE,"(40.821838, -73.897648)",Bronx,02/10/2022
mn-03-128751,Link1.0,Live,124 2 AVENUE,"(40.728232, -73.987818)",Manhattan,07/20/2016
mn-09-134828,Link1.0,Live,3559 BROADWAY,"(40.827044, -73.950226)",Manhattan,08/25/2017
mn-04-123508,Link1.0,Live,197 8 AVENUE,"(40.743579, -73.999894)",Manhattan,03/18/2016
mn-04-123524,Link1.0,Live,103 9 AVENUE,"(40.742803, -74.00417)",Manhattan,02/04/2018
mn-07-121221,Link1.0,Live,2182 BROADWAY,"(40.782528, -73.980586)",Manhattan,05/25/2016
qu-12-141545,Link1.0,Live,160-15 JAMAICA AVENUE,"(40.70402, -73.79869)",Queens,08/18/2016
bk-07-125836,Link1.0,Live,948 3 AVENUE,"(40.655746, -74.006549)",Brooklyn,02/26/2018
bk-02-135003,Link1.0,Live,156 LAWRENCE STREET,"(40.691234, -73.986384)",Brooklyn,02/17/2017
qu-03-125399,Link1.0,Live,85-10 NORTHERN BOULEVARD,"(40.755835, -73.881778)",Queens,04/28/2018
mn-09-135240,Link1.0,Live,1701 AMSTERDAM AVENUE,"(40.824646, -73.947909)",Manhattan,11/22/2017
bx-01-123217,Link1.0,Live,2991 3 AVENUE,"(40.81886, -73.914242)",Bronx,01/21/2017
qu-01-100721,Link1.0,Live,32-07 BROADWAY,"(40.761507, -73.924218)",Queens,01/17/2018
mn-03-138879,Link1.0,Live,218 2 AVENUE,"(40.731923, -73.985131)",Manhattan,03/10/2018
mn-11-120240,Link1.0,Live,2126 3 AVENUE,"(40.798139, -73.940036)",Manhattan,05/20/2016
mn-08-121152,Link1.0,Live,29 EAST 70 STREET,"(40.770459, -73.966224)",Manhattan,02/03/2018
mn-12-135041,Link1.0,Live,1398 ST. NICHOLAS AVENUE,"(40.848444, -73.934241)",Manhattan,12/06/2017
